epoch,train_loss,val_dice,val_aji,val_pq,val_sq,val_dq
1,0.254187,0.849512,0.623906,0.664898,0.773040,0.858991
2,0.221281,0.855295,0.633983,0.674549,0.781918,0.861186
3,0.215393,0.851174,0.629603,0.669284,0.777042,0.860158
4,0.215273,0.854610,0.623311,0.652286,0.767627,0.847797
5,0.208887,0.866932,0.659330,0.676027,0.776017,0.869925
6,0.205667,0.864667,0.648672,0.677315,0.787113,0.858422
7,0.204301,0.872488,0.661970,0.683151,0.789239,0.863781
8,0.202376,0.873480,0.674058,0.686562,0.787823,0.869993
9,0.200503,0.877917,0.675470,0.694735,0.791271,0.876752
10,0.201021,0.877610,0.683077,0.700095,0.792344,0.882342
11,0.193231,0.876258,0.670219,0.696734,0.794499,0.875786
12,0.190346,0.876752,0.675182,0.699532,0.796451,0.877328
13,0.188460,0.883698,0.687166,0.706141,0.796542,0.885625
14,0.193313,0.883007,0.685579,0.698780,0.796806,0.875731
15,0.190800,0.881177,0.678841,0.700731,0.798348,0.876665
16,0.188195,0.889449,0.687117,0.706039,0.799762,0.881580
17,0.185715,0.890242,0.693490,0.710923,0.802472,0.884740
18,0.184187,0.890265,0.701248,0.711115,0.802736,0.884904
19,0.182993,0.882536,0.690421,0.709130,0.799390,0.886076
20,0.181809,0.894451,0.705678,0.706448,0.798929,0.882838
21,0.182031,0.881527,0.689562,0.702861,0.797417,0.880178
22,0.180994,0.889007,0.698390,0.708571,0.799326,0.885318
23,0.177145,0.893380,0.698394,0.706038,0.802995,0.877858
24,0.182873,0.894316,0.708317,0.714347,0.802184,0.889172
25,0.181955,0.894126,0.703943,0.709687,0.801001,0.884896
26,0.180123,0.896828,0.706509,0.715736,0.804593,0.888480
27,0.176711,0.896515,0.711887,0.717439,0.802753,0.892616
28,0.175833,0.893891,0.706108,0.716263,0.807672,0.885608
29,0.176172,0.883874,0.686799,0.703262,0.802161,0.875629
30,0.174423,0.884290,0.699552,0.714564,0.801626,0.890480
31,0.176866,0.896761,0.712745,0.718478,0.807554,0.888430
32,0.171770,0.890063,0.699565,0.715130,0.809030,0.882947
33,0.178586,0.890329,0.700355,0.712347,0.803716,0.885055
34,0.176553,0.896234,0.709408,0.717976,0.805891,0.889730
35,0.176251,0.892186,0.705251,0.720747,0.808031,0.890733
36,0.175313,0.901637,0.717171,0.723690,0.806605,0.896050
37,0.173083,0.890286,0.705145,0.716325,0.805724,0.888281
38,0.170999,0.901444,0.719485,0.721864,0.805609,0.894935
39,0.170177,0.897280,0.712772,0.715550,0.804033,0.888798
40,0.168208,0.897620,0.711861,0.717221,0.805710,0.888972
41,0.165915,0.904777,0.728904,0.729405,0.811457,0.897855
42,0.168088,0.899897,0.712973,0.723865,0.810207,0.892385
43,0.171394,0.895762,0.719581,0.723829,0.805459,0.897693
44,0.165916,0.902389,0.721969,0.725756,0.809569,0.895421
45,0.168001,0.897984,0.721727,0.726060,0.805878,0.899842
46,0.171515,0.892286,0.707566,0.719440,0.808153,0.889156
47,0.172370,0.897704,0.717840,0.721140,0.804335,0.895473
48,0.175965,0.900400,0.719957,0.724650,0.808404,0.895362
49,0.174404,0.894982,0.718136,0.722440,0.806347,0.894977
50,0.170345,0.897954,0.718151,0.726060,0.810286,0.894956
51,0.166899,0.896072,0.714070,0.723989,0.809210,0.893839
52,0.171298,0.899467,0.721384,0.723377,0.808730,0.893432
53,0.163566,0.892426,0.708790,0.716562,0.801983,0.892349
54,0.166360,0.897918,0.713223,0.722343,0.809761,0.890961
55,0.162114,0.900151,0.716334,0.723571,0.810623,0.891277
56,0.166028,0.903803,0.724329,0.729118,0.810827,0.898413
57,0.162443,0.893185,0.711893,0.721925,0.808203,0.892455
58,0.166423,0.899331,0.721311,0.726005,0.807073,0.898655
59,0.162205,0.899284,0.721321,0.724757,0.806627,0.897456
60,0.164157,0.901140,0.721810,0.722283,0.805835,0.895356
61,0.162501,0.902451,0.719438,0.731004,0.814454,0.896552
62,0.158848,0.902779,0.725499,0.730575,0.813099,0.897397
63,0.163972,0.896349,0.714952,0.719996,0.807129,0.891023
64,0.158568,0.901170,0.724926,0.727001,0.808717,0.897861
65,0.161676,0.904982,0.728547,0.729924,0.812935,0.896799
66,0.159048,0.906279,0.732484,0.733866,0.812533,0.901986
67,0.162087,0.904044,0.728715,0.733346,0.812426,0.901658
68,0.160601,0.906606,0.736529,0.735756,0.812794,0.904199
69,0.160906,0.906198,0.731129,0.734876,0.814906,0.900967
70,0.162884,0.902007,0.721419,0.727758,0.814819,0.892285
71,0.159490,0.898394,0.713532,0.722387,0.810399,0.890343
72,0.164809,0.904836,0.725494,0.731355,0.813584,0.897966
73,0.154873,0.899102,0.719877,0.725434,0.810066,0.894794
74,0.158469,0.907302,0.730836,0.734413,0.813932,0.901541
75,0.159344,0.905557,0.730645,0.733657,0.813929,0.900593
76,0.157314,0.901843,0.724065,0.728697,0.809698,0.899059
77,0.154661,0.909183,0.733946,0.737199,0.816952,0.901406
78,0.154264,0.907196,0.733318,0.735847,0.815165,0.901978
79,0.156477,0.906086,0.734040,0.734301,0.813762,0.901438
80,0.160909,0.904126,0.726127,0.730178,0.813359,0.896741
81,0.155804,0.905668,0.733866,0.734305,0.812459,0.902933
82,0.159457,0.901256,0.727757,0.733623,0.813996,0.900454
83,0.154252,0.904154,0.729426,0.731780,0.813136,0.898890
84,0.152837,0.904482,0.727391,0.733957,0.816362,0.898226
85,0.155614,0.900131,0.726677,0.728913,0.809078,0.900118
86,0.154850,0.905997,0.739621,0.736869,0.812827,0.905592
87,0.153682,0.906282,0.728820,0.734325,0.815713,0.899170
88,0.151719,0.903501,0.725564,0.729818,0.812802,0.896885
89,0.152008,0.903096,0.722150,0.730680,0.811850,0.898946
90,0.148569,0.905388,0.736515,0.740136,0.817452,0.904314
91,0.153425,0.906273,0.734140,0.735436,0.814351,0.902078
92,0.153743,0.905459,0.733081,0.734918,0.812498,0.903783
93,0.150344,0.909419,0.734380,0.738920,0.818543,0.901604
94,0.148771,0.905556,0.739974,0.738781,0.814655,0.905912
95,0.148481,0.903899,0.731397,0.732218,0.812501,0.900322
96,0.147833,0.910122,0.742245,0.742519,0.818123,0.906632
97,0.154957,0.903160,0.727805,0.731905,0.813069,0.898954
98,0.148672,0.907427,0.734919,0.736095,0.815800,0.901306
99,0.153040,0.902743,0.724714,0.733862,0.813783,0.900530
100,0.154164,0.905726,0.733565,0.738343,0.816254,0.903657
101,0.155061,0.905842,0.740422,0.740530,0.815707,0.906754
102,0.150419,0.910590,0.740850,0.742973,0.817800,0.907506
103,0.149939,0.908286,0.738095,0.741405,0.817419,0.906090
104,0.153912,0.906227,0.734898,0.739012,0.816689,0.903765
105,0.149152,0.910382,0.742868,0.742794,0.818246,0.906699
106,0.145280,0.906082,0.729990,0.734108,0.814111,0.900860
107,0.145822,0.910009,0.739249,0.739338,0.818303,0.902341
108,0.149860,0.907924,0.741573,0.741847,0.816654,0.907464
