epoch,train_loss,val_dice,val_aji,val_pq,val_sq,val_dq
1,0.258525,0.855448,0.634109,0.673882,0.780316,0.862000
2,0.218880,0.856920,0.635271,0.669419,0.779787,0.856549
3,0.214195,0.861157,0.642093,0.682440,0.784642,0.867954
4,0.216634,0.862207,0.645217,0.675722,0.785063,0.859002
5,0.212074,0.866664,0.650726,0.679804,0.785873,0.863530
6,0.209025,0.859030,0.646513,0.677667,0.782888,0.864097
7,0.200685,0.865529,0.655553,0.681562,0.785921,0.865649
8,0.207582,0.868621,0.660297,0.696771,0.793528,0.876787
9,0.201083,0.886586,0.685515,0.703068,0.798521,0.879104
10,0.200094,0.877801,0.678297,0.698000,0.793790,0.877639
11,0.199037,0.871623,0.670070,0.698353,0.798239,0.872915
12,0.190087,0.887994,0.688415,0.706560,0.800544,0.881106
13,0.195288,0.879028,0.686572,0.703253,0.798873,0.878923
14,0.198258,0.882928,0.689990,0.710018,0.801234,0.884748
15,0.194143,0.886808,0.694517,0.708775,0.804567,0.879616
16,0.185674,0.885945,0.695404,0.702786,0.797200,0.880256
17,0.191071,0.891888,0.701391,0.717311,0.803575,0.891450
18,0.186739,0.891021,0.709026,0.718536,0.803353,0.893415
19,0.179020,0.888768,0.700039,0.712478,0.801415,0.887472
20,0.188541,0.885284,0.695792,0.713457,0.804233,0.885497
21,0.191585,0.880839,0.688862,0.708637,0.797126,0.887853
22,0.185195,0.888931,0.699755,0.719444,0.806904,0.890464
23,0.180378,0.885559,0.688044,0.711570,0.803362,0.884525
24,0.181908,0.891564,0.700858,0.717295,0.803705,0.891363
25,0.181959,0.886759,0.701283,0.716027,0.803814,0.889578
26,0.178958,0.894235,0.708401,0.721154,0.804410,0.895450
27,0.179509,0.888295,0.697734,0.715178,0.805116,0.887011
28,0.182252,0.889824,0.701203,0.713944,0.805020,0.885640
29,0.180100,0.889462,0.704212,0.716236,0.804361,0.889264
30,0.179197,0.881871,0.693577,0.717162,0.809505,0.884926
