epoch,train_loss,val_dice,val_aji,val_pq,val_sq,val_dq
1,0.260166,0.852583,0.642151,0.685703,0.778622,0.879490
2,0.219300,0.861144,0.653938,0.683829,0.779048,0.876315
3,0.225751,0.854852,0.646205,0.691644,0.785236,0.879601
4,0.223195,0.861124,0.651979,0.691228,0.784180,0.879919
5,0.212470,0.859103,0.660580,0.690217,0.780267,0.883174
6,0.208016,0.860755,0.653524,0.673450,0.778883,0.862735
7,0.200999,0.864757,0.650668,0.691127,0.784929,0.879346
8,0.203843,0.871659,0.674796,0.693521,0.783524,0.883668
9,0.198558,0.868762,0.660521,0.697565,0.787538,0.884679
10,0.203207,0.863572,0.667671,0.689203,0.774602,0.889168
11,0.196272,0.875604,0.681063,0.696315,0.784959,0.885869
12,0.193303,0.878855,0.689081,0.706160,0.792819,0.889733
13,0.192460,0.881525,0.694642,0.708575,0.793231,0.892116
14,0.186139,0.881748,0.689436,0.718205,0.799973,0.896850
15,0.184804,0.879858,0.697716,0.708918,0.791335,0.895049
16,0.188601,0.888324,0.704283,0.716775,0.797865,0.897629
17,0.192928,0.881486,0.697979,0.704842,0.783329,0.898886
18,0.184383,0.883849,0.691174,0.722792,0.803623,0.898371
19,0.186327,0.890900,0.706329,0.720608,0.803446,0.895835
20,0.185810,0.887234,0.699640,0.721965,0.800770,0.900749
21,0.188275,0.886947,0.697814,0.716557,0.797461,0.897484
22,0.184274,0.889615,0.702479,0.718377,0.801444,0.895256
23,0.180419,0.884388,0.700875,0.717335,0.796279,0.900085
24,0.180022,0.887818,0.691528,0.714667,0.801442,0.890779
25,0.182664,0.892907,0.715633,0.725263,0.800953,0.904676
26,0.176422,0.884725,0.699536,0.710539,0.796399,0.891111
27,0.177106,0.888741,0.700041,0.717614,0.801430,0.894089
28,0.184023,0.890291,0.710298,0.720734,0.799627,0.900353
29,0.176097,0.886012,0.700337,0.716118,0.800675,0.893494
30,0.173814,0.895562,0.720019,0.726448,0.805238,0.901173
31,0.174083,0.891088,0.717827,0.725422,0.800568,0.905576
32,0.175329,0.888323,0.699179,0.718811,0.800904,0.896322
33,0.177541,0.886500,0.702199,0.721509,0.804214,0.896149
34,0.178895,0.888969,0.704527,0.723839,0.804421,0.898679
35,0.174488,0.890717,0.702606,0.724892,0.806269,0.898200
36,0.177315,0.892659,0.707620,0.721295,0.805315,0.894577
37,0.175831,0.892397,0.707554,0.719483,0.801718,0.896171
38,0.175128,0.889546,0.712214,0.723331,0.800879,0.902156
39,0.178909,0.897805,0.725118,0.728327,0.805195,0.903551
40,0.173999,0.894561,0.717198,0.728181,0.806497,0.901730
41,0.170700,0.896439,0.715901,0.729316,0.808469,0.901026
42,0.173538,0.895077,0.715970,0.730404,0.808613,0.902407
43,0.169440,0.895822,0.710215,0.729596,0.806891,0.903238
44,0.169635,0.893050,0.712702,0.725957,0.804949,0.900754
45,0.169198,0.894115,0.707898,0.729540,0.809064,0.900519
46,0.172801,0.895142,0.716495,0.730908,0.807067,0.904676
47,0.166092,0.891936,0.716005,0.723823,0.800867,0.902766
48,0.165900,0.896739,0.715192,0.729055,0.806135,0.903553
49,0.171029,0.894520,0.709460,0.724412,0.803239,0.900868
50,0.167451,0.900334,0.719306,0.734130,0.810125,0.905160
51,0.168344,0.897862,0.718155,0.732844,0.806120,0.907968
52,0.166408,0.897907,0.724892,0.736180,0.809523,0.908258
53,0.163192,0.898522,0.722095,0.734528,0.810941,0.904773
54,0.163844,0.900024,0.723488,0.733987,0.809962,0.904922
55,0.164967,0.896182,0.727428,0.735451,0.808336,0.908818
56,0.166302,0.896399,0.721694,0.731198,0.805721,0.906647
57,0.165006,0.898942,0.727940,0.734460,0.810645,0.904624
58,0.168323,0.899864,0.726197,0.738893,0.812516,0.908509
59,0.164658,0.895067,0.723920,0.730769,0.806219,0.905467
60,0.163509,0.902446,0.725226,0.740342,0.814863,0.907690
61,0.168596,0.898047,0.718367,0.733053,0.809217,0.904951
62,0.165264,0.895921,0.721842,0.729910,0.806750,0.903682
63,0.165238,0.899465,0.721714,0.735776,0.811966,0.904838
64,0.163747,0.893638,0.714317,0.726508,0.804426,0.902395
65,0.161488,0.899137,0.726490,0.737861,0.812281,0.907791
66,0.165786,0.895990,0.722286,0.734778,0.808237,0.907974
67,0.161571,0.897422,0.718934,0.732790,0.809621,0.904019
68,0.161447,0.899185,0.724257,0.737347,0.812653,0.906452
69,0.158353,0.896035,0.717380,0.734249,0.810853,0.904834
70,0.160399,0.895970,0.724558,0.735399,0.809064,0.907642
71,0.156007,0.907231,0.743156,0.749155,0.818326,0.914613
72,0.159122,0.895414,0.719110,0.730827,0.809149,0.902389
73,0.157393,0.893716,0.716829,0.733036,0.809258,0.905139
74,0.160889,0.897113,0.725690,0.736847,0.809975,0.909026
75,0.157558,0.894663,0.726393,0.737155,0.810322,0.908744
76,0.158723,0.894350,0.721209,0.729437,0.807553,0.902044
77,0.158225,0.896653,0.720352,0.734238,0.808654,0.907315
78,0.160808,0.893237,0.712682,0.731116,0.808157,0.903969
79,0.150725,0.895480,0.726229,0.734575,0.808840,0.906949
80,0.155465,0.899045,0.721926,0.738674,0.814300,0.906434
81,0.154919,0.902554,0.735005,0.742160,0.811614,0.913475
82,0.153993,0.900664,0.730963,0.739228,0.813550,0.907813
83,0.156040,0.899909,0.721547,0.738464,0.812638,0.908205
84,0.154894,0.890785,0.702947,0.730551,0.811326,0.899710
85,0.154210,0.904579,0.732185,0.743848,0.815051,0.911921
86,0.150036,0.899187,0.721911,0.733373,0.811521,0.902923
87,0.155624,0.903604,0.736403,0.742654,0.815112,0.910342
88,0.160596,0.898676,0.727566,0.734581,0.810731,0.904864
89,0.155633,0.901888,0.732851,0.739358,0.813547,0.907693
90,0.151377,0.896824,0.722816,0.737894,0.812247,0.907718
91,0.152524,0.898500,0.721749,0.735991,0.811056,0.906564
92,0.146726,0.902934,0.734514,0.743609,0.813281,0.913654
93,0.154707,0.898751,0.726064,0.738962,0.814471,0.906595
94,0.148504,0.901815,0.732665,0.741441,0.813355,0.910821
95,0.153195,0.898912,0.726484,0.737707,0.813191,0.906330
96,0.153462,0.903321,0.735426,0.742121,0.814567,0.910409
97,0.152731,0.895757,0.718369,0.732096,0.811484,0.901198
98,0.152712,0.902572,0.731675,0.742644,0.816614,0.908520
99,0.148681,0.905775,0.742645,0.744754,0.816022,0.911814
100,0.156368,0.900931,0.734974,0.742211,0.815403,0.909610
101,0.149393,0.904877,0.733595,0.741645,0.816551,0.907526
102,0.155244,0.898450,0.727988,0.739105,0.812000,0.909417
103,0.147420,0.905369,0.739190,0.746863,0.815581,0.915017
104,0.152013,0.902575,0.729055,0.741791,0.815149,0.909205
105,0.148677,0.903175,0.737499,0.744383,0.812941,0.914923
106,0.151345,0.902763,0.732336,0.740998,0.813634,0.909914
107,0.149691,0.905106,0.740285,0.747671,0.816805,0.914587
108,0.150171,0.899583,0.724571,0.735772,0.812869,0.904233
109,0.151994,0.902106,0.730577,0.738964,0.813883,0.906912
110,0.152515,0.900984,0.730280,0.740855,0.814182,0.909278
111,0.148604,0.904874,0.739269,0.745214,0.815735,0.912804
112,0.151385,0.903562,0.739055,0.742146,0.813718,0.910772
113,0.142721,0.908150,0.746129,0.750651,0.818930,0.915993
114,0.154086,0.899473,0.733019,0.740384,0.813999,0.908860
115,0.149334,0.903439,0.740953,0.744296,0.815441,0.912037
116,0.148519,0.908605,0.742560,0.746779,0.817975,0.911987
117,0.150736,0.898516,0.720416,0.735078,0.812404,0.904043
118,0.152709,0.908745,0.742997,0.746647,0.818136,0.911647
119,0.148784,0.899816,0.735247,0.741269,0.813302,0.910537
