epoch,train_loss,val_dice,val_aji,val_pq,val_sq,val_dq
1,0.266695,0.851318,0.628067,0.672380,0.778540,0.860501
2,0.219908,0.853963,0.634186,0.678414,0.783968,0.861921
3,0.214347,0.850843,0.628894,0.664472,0.773478,0.855312
4,0.219823,0.869572,0.666086,0.690990,0.789690,0.872607
5,0.208446,0.868315,0.659119,0.690677,0.790421,0.871487
6,0.208218,0.851056,0.626736,0.651326,0.757905,0.855508
7,0.204681,0.880238,0.681171,0.698616,0.795286,0.875667
8,0.200995,0.869251,0.676594,0.698962,0.793999,0.878279
9,0.197274,0.865960,0.665991,0.686614,0.788724,0.866865
10,0.196805,0.874074,0.672768,0.695154,0.795390,0.871420
11,0.195550,0.868739,0.672346,0.689155,0.787685,0.872689
12,0.190975,0.860942,0.659141,0.688683,0.791978,0.866913
13,0.193569,0.876188,0.666978,0.701933,0.802255,0.872437
14,0.191702,0.884102,0.691429,0.710522,0.803756,0.881387
15,0.185038,0.883322,0.694097,0.707211,0.801499,0.879766
16,0.190429,0.885172,0.684165,0.711138,0.801336,0.884611
17,0.191605,0.877715,0.687670,0.701078,0.791200,0.884621
18,0.186366,0.878537,0.689114,0.699693,0.787635,0.886155
19,0.187197,0.887024,0.694548,0.720802,0.807177,0.891088
20,0.184130,0.892333,0.708641,0.722423,0.807012,0.892923
21,0.189312,0.880538,0.689356,0.707251,0.798034,0.883029
22,0.181139,0.883405,0.695813,0.708767,0.793455,0.891780
23,0.180510,0.893692,0.710694,0.725316,0.809920,0.893629
24,0.183857,0.890249,0.707718,0.716940,0.802204,0.891321
25,0.180589,0.881545,0.698211,0.714949,0.800976,0.890846
26,0.178239,0.893900,0.704890,0.718661,0.805735,0.889215
27,0.182705,0.887548,0.702824,0.716851,0.805367,0.887874
28,0.182490,0.894103,0.708915,0.717989,0.804463,0.889768
29,0.180752,0.895574,0.710506,0.724502,0.807936,0.893935
30,0.172628,0.893773,0.708810,0.720761,0.807820,0.890148
31,0.178068,0.888979,0.697475,0.716885,0.807345,0.885328
32,0.177566,0.894697,0.710574,0.726428,0.812084,0.891952
33,0.175205,0.890179,0.703909,0.713331,0.800957,0.887125
34,0.181226,0.892174,0.704530,0.716651,0.806482,0.885816
35,0.177199,0.899316,0.715759,0.729252,0.811663,0.896250
36,0.178092,0.901136,0.723427,0.734725,0.814526,0.899912
37,0.173811,0.894959,0.711130,0.724909,0.811180,0.890848
38,0.174891,0.900520,0.718261,0.730713,0.812957,0.896438
39,0.174280,0.889142,0.705961,0.718892,0.801089,0.895744
40,0.175452,0.892959,0.709576,0.720523,0.808693,0.888313
41,0.173563,0.898843,0.717954,0.729102,0.810513,0.897159
42,0.175952,0.897425,0.718423,0.730803,0.810761,0.899016
43,0.177816,0.893615,0.709247,0.722763,0.806734,0.893153
44,0.171078,0.897523,0.716187,0.727107,0.812597,0.892470
45,0.177897,0.897713,0.717382,0.725736,0.809594,0.894051
46,0.169527,0.892983,0.710571,0.717140,0.803877,0.889842
47,0.165607,0.893560,0.722144,0.724648,0.804480,0.898639
48,0.170953,0.895790,0.717596,0.728341,0.812817,0.893562
49,0.172738,0.892928,0.712851,0.723406,0.807800,0.893373
50,0.171212,0.895345,0.715251,0.725596,0.811834,0.891539
51,0.168724,0.904551,0.728313,0.736212,0.814322,0.901762
52,0.169613,0.905317,0.732676,0.735792,0.814767,0.900563
53,0.168193,0.900380,0.717254,0.735378,0.815687,0.898957
54,0.165689,0.901175,0.724924,0.734724,0.814975,0.899499
55,0.170884,0.900747,0.718915,0.734900,0.815521,0.898916
56,0.171302,0.891913,0.707977,0.721057,0.807389,0.890992
57,0.168612,0.896905,0.720737,0.727622,0.807947,0.898484
58,0.166044,0.898671,0.719197,0.731349,0.812523,0.897810
59,0.165540,0.898752,0.718039,0.731794,0.814154,0.896368
60,0.162336,0.894986,0.714873,0.727856,0.815975,0.889262
61,0.162956,0.896385,0.717870,0.729101,0.812296,0.895141
62,0.169891,0.896131,0.725689,0.729061,0.809558,0.898122
63,0.165145,0.892394,0.710042,0.721231,0.806919,0.891567
64,0.163906,0.905729,0.728026,0.737636,0.818939,0.897982
65,0.167923,0.901851,0.728350,0.735202,0.815939,0.898726
66,0.156970,0.892464,0.715318,0.720560,0.806828,0.890892
67,0.161473,0.898729,0.718682,0.733386,0.815083,0.897467
68,0.162645,0.901894,0.727373,0.734210,0.816638,0.896749
69,0.168389,0.903248,0.727799,0.736564,0.818535,0.897349
70,0.158016,0.890468,0.710127,0.719973,0.804799,0.891888
71,0.159732,0.903107,0.730371,0.738259,0.816820,0.901518
72,0.161780,0.897195,0.716394,0.727535,0.812617,0.893323
73,0.160390,0.901773,0.727431,0.735537,0.814744,0.900747
74,0.161455,0.900517,0.722714,0.728411,0.813284,0.893486
75,0.157387,0.904303,0.735843,0.737979,0.814915,0.903507
76,0.159954,0.899927,0.726165,0.730448,0.809702,0.900083
77,0.152307,0.907998,0.740484,0.745421,0.820805,0.906175
78,0.152765,0.903625,0.733447,0.738898,0.816300,0.902971
79,0.162275,0.902883,0.730418,0.737705,0.817409,0.900520
80,0.160561,0.894332,0.720297,0.727720,0.809080,0.897322
81,0.153542,0.893169,0.715042,0.725677,0.812299,0.890861
82,0.155714,0.904360,0.731766,0.738605,0.817601,0.901280
83,0.155955,0.898202,0.723118,0.730307,0.810095,0.899312
84,0.155479,0.904400,0.733978,0.741782,0.819000,0.903478
85,0.157519,0.905114,0.735445,0.742587,0.818065,0.905599
86,0.158352,0.891871,0.708720,0.724773,0.808432,0.894336
87,0.160154,0.901764,0.723096,0.733732,0.816589,0.896238
88,0.154342,0.899053,0.724136,0.735215,0.814627,0.900119
89,0.153045,0.896196,0.716031,0.727545,0.811089,0.894829
90,0.153647,0.897140,0.720359,0.731089,0.812831,0.897134
91,0.156804,0.901552,0.731355,0.734232,0.814469,0.899372
92,0.156472,0.904168,0.735726,0.743224,0.818684,0.905991
93,0.152758,0.901176,0.724472,0.735517,0.818130,0.896607
94,0.152816,0.903864,0.737184,0.740371,0.815729,0.905381
95,0.153186,0.898808,0.723776,0.731692,0.814838,0.895542
96,0.154692,0.895798,0.719430,0.729739,0.815123,0.892473
97,0.153386,0.899532,0.721973,0.733876,0.815555,0.897373
98,0.151862,0.905424,0.733564,0.741284,0.819337,0.902443
99,0.150837,0.907418,0.736280,0.743191,0.820739,0.903186
100,0.150434,0.901306,0.722500,0.734997,0.817039,0.897169
101,0.149713,0.909137,0.748247,0.751644,0.823046,0.911174
102,0.147384,0.905767,0.739550,0.741711,0.818349,0.904157
103,0.151113,0.896806,0.720646,0.731332,0.814939,0.894733
104,0.149827,0.897290,0.715929,0.728546,0.814631,0.891788
105,0.155482,0.907253,0.739637,0.745493,0.821842,0.904849
106,0.149923,0.901042,0.723732,0.734239,0.817031,0.896223
107,0.150716,0.903437,0.731480,0.740080,0.819567,0.900843
108,0.149713,0.902860,0.726585,0.737900,0.818272,0.899347
109,0.145299,0.909239,0.742356,0.745868,0.822108,0.904806
110,0.154084,0.906576,0.743469,0.746995,0.820668,0.908087
111,0.152325,0.906995,0.739133,0.744820,0.821018,0.904965
112,0.151800,0.908202,0.744412,0.748769,0.821738,0.909109
113,0.147209,0.906261,0.738309,0.745721,0.821753,0.905264
114,0.152388,0.905269,0.731632,0.740865,0.820045,0.900976
115,0.152836,0.904109,0.730739,0.741714,0.820186,0.902108
116,0.146869,0.904985,0.734429,0.742427,0.820280,0.902725
117,0.150703,0.905902,0.734836,0.742171,0.820314,0.902363
118,0.154142,0.908914,0.743950,0.748486,0.821771,0.908534
119,0.150418,0.904544,0.732208,0.742430,0.819948,0.903206
120,0.155500,0.906316,0.736490,0.745100,0.820639,0.905594
